label,message
spam,Congratulations! You have won a free iPhone. Click here now.
spam,URGENT! Your bank account will be blocked. Verify immediately.
spam,"Win ₹50,000 today. Limited time offer!"
spam,Claim your reward before it expires.
spam,You are selected for a lucky draw prize.
spam,Get instant loan approval without documents.
spam,Exclusive deal! Buy 1 get 3 free.
spam,Act now! Offer ends tonight.
spam,You have been chosen for a cash bonus.
spam,Free vacation package waiting for you.
spam,Earn money from home easily.
spam,Click this link to secure your prize.
spam,Your account has suspicious activity. Login now.
spam,Lowest insurance rates guaranteed.
spam,Double your income in 7 days.
spam,Limited seats available. Register now.
spam,Free gift card worth ₹5000.
spam,Get rich quick with this method.
spam,Special discount just for you.
spam,You won’t believe this amazing offer.
spam,Immediate response required.
spam,Claim your cashback today.
spam,Your parcel is on hold. Update details.
spam,Free membership for first 100 users.
spam,Final notice: Payment overdue.
spam,Unlock premium access instantly.
spam,Win a brand new car today.
spam,Investment opportunity with huge returns.
spam,Apply now for instant approval.
spam,Don’t miss this exclusive deal.
spam,Free trial available. Sign up today.
spam,You have received a confidential reward.
spam,Congratulations! Lottery winner.
spam,Click here to confirm your prize.
spam,Lowest price guaranteed today.
spam,Earn $1000 per day easily.
spam,Selected for VIP membership.
spam,Your ATM card will be deactivated.
spam,Exclusive reward for loyal customer.
spam,Get unlimited data for free.
spam,Limited time flash sale.
spam,Access secret earning method.
spam,Claim bonus before midnight.
spam,You have unclaimed funds.
spam,Urgent: Verify your account now.
spam,Special promotion just launched.
spam,Get approved in minutes.
spam,Free recharge available now.
spam,Claim your surprise gift.
spam,Final chance to win big.
ham,"Hi, can we reschedule the meeting?"
ham,Please send the report by tomorrow.
ham,Let’s have lunch at 2 PM.
ham,Call me when you reach home.
ham,Are you coming to the office today?
ham,Don’t forget to bring the documents.
ham,Meeting has been postponed to Friday.
ham,Can you review this file?
ham,I will call you in the evening.
ham,Let’s catch up this weekend.
ham,Please check the attachment.
ham,Did you finish the assignment?
ham,I’m on my way.
ham,Can we talk now?
ham,Thank you for your help.
ham,Let’s plan for the trip.
ham,Send me the address.
ham,I will be late today.
ham,Please confirm your availability.
ham,Can you share the notes?
ham,Let’s finalize the project details.
ham,Are you free tomorrow?
ham,Meeting starts at 10 AM.
ham,Please update the spreadsheet.
ham,Happy birthday! Have a great day.
ham,Let me know your thoughts.
ham,Call me if you need help.
ham,I have shared the document.
ham,Let’s discuss this later.
ham,Please review the proposal.
ham,"Good morning, have a nice day."
ham,Did you receive my email?
ham,I will send the details soon.
ham,Can you join the call?
ham,Please complete the task today.
ham,I have reached safely.
ham,Let’s meet near the office.
ham,Thanks for the update.
ham,Please approve the request.
ham,Are we still on for today?
ham,Send me the presentation.
ham,I will check and reply.
ham,Can we change the schedule?
ham,Looking forward to our meeting.
ham,Please find attached the file.
ham,Let’s confirm the booking.
ham,Can you explain this again?
ham,I will update you shortly.
ham,Thanks for your support.
ham,See you tomorrow.
